Date,AAPL,MSFT,NVDA,TSLA
2016-01-04,23.776182174682617,48.07325744628906,0.789631724357605,14.894000053405762
2016-01-05,23.18036651611328,48.29257583618164,0.8023166060447693,14.895333290100098
2016-01-06,22.726728439331055,47.415321350097656,0.7691407799720764,14.602666854858398
2016-01-07,21.76755714416504,45.76610565185547,0.7386484146118164,14.376667022705078
2016-01-08,21.88265609741211,45.906455993652344,0.7227921485900879,14.066666603088379
2016-01-11,22.23699378967285,45.88014602661133,0.7240118384361267,13.856666564941406
2016-01-12,22.55972671508789,46.301212310791016,0.736208975315094,13.998000144958496
2016-01-13,21.979705810546875,45.30116271972656,0.7137665748596191,13.354000091552734
2016-01-14,22.460416793823242,46.59071731567383,0.6993740797042847,13.745332717895508
2016-01-15,21.921022415161133,44.73094177246094,0.6613196134567261,13.666000366210938
2016-01-19,21.814958572387695,44.353736877441406,0.6666861176490784,13.64799976348877
2016-01-20,21.844295501708984,44.55549621582031,0.6703454852104187,13.24666690826416
2016-01-21,21.733715057373047,44.2835578918457,0.6781516075134277,13.33133316040039
2016-01-22,22.889225006103516,45.871376037597656,0.694007396697998,13.50333309173584
2016-01-25,22.442367553710938,45.4327507019043,0.6932758092880249,13.092000007629395
2016-01-26,22.56649398803711,45.76610565185547,0.7001059651374817,12.904000282287598
2016-01-27,21.083723068237305,44.932708740234375,0.6918122172355652,12.538000106811523
2016-01-28,21.234928131103516,45.66960525512695,0.6842498779296875,12.646666526794434
2016-01-29,21.96842384338379,48.32766342163086,0.7144982814788818,12.74666690826416
2016-02-01,21.763046264648438,47.99432373046875,0.7147424817085266,13.129332542419434
2016-02-02,21.32295799255371,46.49421310424805,0.6844938397407532,12.185333251953125
2016-02-03,21.744991302490234,45.757320404052734,0.6879088282585144,11.565333366394043
2016-02-04,21.919713973999023,45.61696243286133,0.688153088092804,11.688667297363281
2016-02-05,21.334278106689453,44.002830505371094,0.6447316408157349,10.84000015258789
2016-02-08,21.558927536010742,43.34489059448242,0.6152151226997375,9.866000175476074
2016-02-09,21.554380416870117,43.23085021972656,0.6218013763427734,9.883333206176758
2016-02-10,21.391000747680664,43.60805892944336,0.620337963104248,9.57800006866455
2016-02-11,21.26166343688965,43.59051513671875,0.6171665191650391,10.031332969665527
2016-02-12,21.327476501464844,44.30110168457031,0.6276560425758362,10.06933307647705
2016-02-16,21.928791046142578,45.14045333862305,0.6583923697471619,10.344667434692383
2016-02-17,22.26462173461914,46.31558609008789,0.6747363805770874,11.245332717895508
2016-02-18,21.842565536499023,46.11235809326172,0.7327938675880432,11.118000030517578
2016-02-19,21.79264259338379,45.785465240478516,0.742551326751709,11.10533332824707
2016-02-22,21.983247756958008,46.51880645751953,0.7688969969749451,11.849332809448242
2016-02-23,21.48631477355957,45.219974517822266,0.7708483934402466,11.814000129699707
2016-02-24,21.806257247924805,45.379032135009766,0.7762150168418884,11.933333396911621
2016-02-25,21.956022262573242,46.0328483581543,0.7779226899147034,12.495332717895508
2016-02-26,21.990055084228516,45.32600021362305,0.772800087928772,12.689332962036133
2016-02-29,21.940134048461914,44.954925537109375,0.7677809000015259,12.795332908630371
2016-03-01,22.811477661132812,46.45695495605469,0.8018121719360352,12.423333168029785
2016-03-02,22.861398696899414,46.78385925292969,0.8064637184143066,12.555999755859375
2016-03-03,23.031579971313477,46.25373458862305,0.799363911151886,13.049332618713379
2016-03-04,23.374217987060547,45.97099304199219,0.7969153523445129,13.402667045593262
2016-03-07,23.11553955078125,45.08744430541992,0.7917742133140564,13.685999870300293
2016-03-08,22.92493438720703,45.635257720947266,0.7773289680480957,13.506667137145996
2016-03-09,22.945350646972656,46.68667221069336,0.7768396139144897,13.914667129516602
2016-03-10,22.956701278686523,45.98866653442383,0.775615394115448,13.678667068481445
2016-03-11,23.204038619995117,46.889888763427734,0.7888363003730774,13.833333015441895
2016-03-14,23.26303482055664,46.97823715209961,0.790794849395752,14.34333324432373
2016-03-15,23.730470657348633,47.349342346191406,0.786877453327179,14.555999755859375
2016-03-16,24.04588508605957,48.02082443237305,0.810380756855011,14.795332908630371
2016-03-17,24.007305145263672,48.294742584228516,0.8035257458686829,15.092000007629395
2016-03-18,24.034534454345703,47.2609748840332,0.8277637958526611,15.515999794006348
2016-03-21,24.032262802124023,47.587894439697266,0.8302119970321655,15.887999534606934
2016-03-22,24.216060638427734,47.77342987060547,0.8287432789802551,15.616000175476074
2016-03-23,24.08218765258789,47.68509292602539,0.8429432511329651,14.838666915893555
2016-03-24,23.977806091308594,47.897132873535156,0.8441672921180725,15.183333396911621
2016-03-28,23.868886947631836,47.305179595947266,0.8527365326881409,15.350666999816895
2016-03-29,24.43390464782715,48.33891296386719,0.8664465546607971,15.342000007629395
2016-03-30,24.86049461364746,48.639305114746094,0.8755052089691162,15.12600040435791
2016-03-31,24.73114585876465,48.79835510253906,0.8723223805427551,15.317999839782715
2016-04-01,24.95806121826172,49.0987548828125,0.8850536346435547,15.839332580566406
2016-04-04,25.214473724365234,48.97506332397461,0.8764846324920654,16.465999603271484
2016-04-05,24.917219161987305,48.206390380859375,0.8752604722976685,17.031333923339844
2016-04-06,25.17816925048828,48.7011604309082,0.8764846324920654,17.69466781616211
2016-04-07,24.629043579101562,48.11802673339844,0.8674259185791016,17.14666748046875
2016-04-08,24.656274795532227,48.082672119140625,0.8730568885803223,16.67133331298828
2016-04-11,24.737960815429688,47.98548889160156,0.8784432411193848,16.661333084106445
2016-04-12,25.0601749420166,48.28590393066406,0.8774639964103699,16.521333694458008
